Season,Agency,Date,Time,Station ID,Field Rep,Depth(m),Time (s),Descent rate (m/s),Temperature (øC),Conductivity (S/m),Salinity (psu),Density (å-theta),pH,Oxygen (mg/L),SBE DO sat (mg/L),SBE DO sat (%),Transmissivity (%),SBE Beam C,Chl-a (ug/L),Voltage-Chl-a,Chl-a (ug/L) USC/UCLA,Chl-a (ug/L) ECO,CDOM (ug/L),Voltage-CDOM,Irradiance,Surface Irradiance,Irradiance (% Norm),delta T,Stability (E),Qual_NH3,Ammonia-N (ug/L),Qual_TC,Total Colif. (MPN),Qual_FC,Fecal Colif. (MPN),Qual_EC,E. coli (MPN),Qual_ENT,Enterococci (MPN)
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,1,25.7,0.17,14.95,4.083,33.146,24.554,8.09,8.19,8.23,99.48,83.15,0.185,1.12,0.2636,-1,-1,0.68,0.162,-1,-1,-1,-1,-1,E,0.004,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,2,28.1,1,14.95,4.083,33.147,24.554,8.08,8.14,8.23,98.84,82.94,0.187,1.24,0.2846,-1,-1,0.88,0.1836,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,3,29,1.21,14.83,4.072,33.147,24.58,8.08,8.14,8.25,98.58,82.43,0.193,1.42,0.3168,-1,-1,0.71,0.1652,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,4,29.9,1.09,14.85,4.074,33.148,24.577,8.08,8.11,8.25,98.33,82.4,0.194,1.55,0.34,-1,-1,0.7,0.1644,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,5,30.9,0.93,14.8,4.07,33.148,24.587,8.08,8.09,8.25,97.99,81.68,0.202,1.77,0.3793,-1,-1,0.72,0.166,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,6,32,1.02,14.76,4.066,33.145,24.594,8.08,8.1,8.26,97.93,80.9,0.212,2.04,0.4276,-1,-1,0.74,0.169,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,7,32.9,1.23,14.73,4.062,33.142,24.599,8.08,8.11,8.27,98.02,80.76,0.214,2.28,0.4695,-1,-1,0.76,0.171,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,8,33.6,1.39,14.71,4.06,33.138,24.599,8.08,8.1,8.27,97.9,80.4,0.218,2.37,0.4863,-1,-1,0.78,0.1729,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,9,34.3,1.42,14.7,4.059,33.136,24.599,8.08,8.09,8.27,97.68,80.35,0.219,2.46,0.5003,-1,-1,0.79,0.1742,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,10,35.1,1.06,14.71,4.06,33.136,24.599,8.08,8.08,8.27,97.57,80.38,0.218,2.42,0.4961,-1,-1,0.8,0.1746,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,11,36.3,0.75,14.71,4.06,33.137,24.599,8.08,8.07,8.27,97.52,80.38,0.218,2.46,0.5029,-1,-1,0.8,0.1747,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,12,37.5,1.26,14.69,4.058,33.133,24.6,8.07,8.08,8.27,97.6,80,0.223,2.52,0.5125,-1,-1,0.81,0.1759,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,13,38.2,1.41,14.67,4.056,33.131,24.602,8.07,8.08,8.28,97.58,79.78,0.226,2.48,0.5051,-1,-1,0.82,0.1774,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,14,40.5,0.27,14.68,4.057,33.132,24.601,8.07,8.09,8.27,97.72,79.79,0.226,2.39,0.4889,-1,-1,0.82,0.1771,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,15,40.9,0.23,14.68,4.057,33.132,24.601,8.07,8.1,8.28,97.81,79.7,0.227,2.35,0.484,-1,-1,0.82,0.1775,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 09:11:00,3101,1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,1,24.4,0.19,15,4.087,33.139,24.539,8.08,8.19,8.22,99.5,83.57,0.179,0.91,0.2257,-1,-1,0.72,0.1662,-1,-1,-1,-1,-1,E,0.009,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,2,26.9,0.85,15.06,4.091,33.127,24.515,8.08,8.09,8.21,98.43,83.99,0.175,0.9,0.2237,-1,-1,0.7,0.1638,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,3,27.9,1.2,14.99,4.086,33.138,24.539,8.08,8.1,8.22,98.46,83.62,0.179,1.02,0.2454,-1,-1,0.71,0.1656,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,4,28.7,1.4,14.82,4.073,33.159,24.591,8.08,8.15,8.25,98.69,83.08,0.185,1.19,0.2754,-1,-1,0.74,0.1684,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,5,29.4,1.49,14.74,4.066,33.166,24.613,8.07,8.15,8.26,98.56,83,0.186,1.34,0.302,-1,-1,0.75,0.1699,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,6,30.1,1.28,14.73,4.065,33.165,24.616,8.07,8.09,8.27,97.75,82.91,0.187,1.42,0.3156,-1,-1,0.76,0.171,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,7,31.2,0.76,14.75,4.066,33.163,24.611,8.07,7.78,8.26,94.07,82.86,0.188,1.58,0.3457,-1,-1,0.76,0.1705,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,8,32.5,0.87,14.68,4.061,33.167,24.627,8.07,7.47,8.27,90.26,82.71,0.19,1.81,0.3865,-1,-1,0.77,0.1722,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,9,33.5,1.2,14.46,4.041,33.173,24.679,8.05,7.46,8.31,89.73,82.06,0.198,1.85,0.3939,-1,-1,0.84,0.1795,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,10,34.3,1.41,14.14,4.013,33.198,24.767,8.04,7.5,8.36,89.66,81.57,0.204,1.89,0.4008,-1,-1,0.91,0.1866,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,11,35,1.5,14.12,4.012,33.197,24.769,8.03,7.5,8.37,89.64,81.52,0.204,1.92,0.4062,-1,-1,0.93,0.1893,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,12,35.6,1.36,14.12,4.011,33.196,24.769,8.03,7.5,8.37,89.62,81.43,0.206,1.92,0.4067,-1,-1,0.94,0.1905,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,13,36.6,0.97,14.12,4.011,33.192,24.765,8.03,7.5,8.37,89.61,81.04,0.21,1.94,0.41,-1,-1,0.96,0.1922,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,14,37.6,1.16,14.09,4.008,33.192,24.772,8.02,7.49,8.37,89.43,80.93,0.212,1.95,0.4105,-1,-1,0.97,0.1936,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,15,38.4,1.4,14.09,4.009,33.193,24.772,8.02,7.48,8.37,89.35,80.89,0.212,1.96,0.4133,-1,-1,0.97,0.1932,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,16,39,1.33,14.09,4.009,33.193,24.772,8.02,7.48,8.37,89.25,80.81,0.213,1.95,0.4109,-1,-1,0.98,0.1947,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,17,40,0.96,14.08,4.007,33.19,24.773,8.02,7.45,8.37,88.91,80.53,0.216,1.92,0.4061,-1,-1,0.99,0.1952,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,18,41.1,1.05,14.08,4.008,33.191,24.773,8.02,7.45,8.37,88.92,80.56,0.216,1.88,0.3987,-1,-1,0.99,0.1953,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,19,41.9,1.31,14.08,4.007,33.191,24.774,8.02,7.49,8.38,89.33,80.37,0.219,1.9,0.403,-1,-1,1,0.1963,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,20,42.6,1.37,14.05,4.005,33.187,24.775,8.02,7.5,8.38,89.48,79.73,0.226,1.92,0.4055,-1,-1,1.02,0.1983,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,21,43.4,1.15,14.05,4.004,33.186,24.776,8.02,7.5,8.38,89.47,79.75,0.226,1.87,0.3976,-1,-1,1.02,0.1989,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,22,44.4,1.02,14.06,4.006,33.188,24.775,8.02,7.49,8.38,89.31,80.15,0.221,1.89,0.4002,-1,-1,1.01,0.1975,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,23,45.3,1.23,14.08,4.007,33.19,24.773,8.02,7.47,8.37,89.16,80.26,0.22,1.86,0.3964,-1,-1,1,0.197,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,24,46.1,1.24,14.08,4.008,33.19,24.772,8.02,7.48,8.37,89.25,80.26,0.22,1.85,0.3946,-1,-1,1,0.1964,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,25,47,1.05,14.07,4.006,33.188,24.774,8.02,7.48,8.38,89.19,79.99,0.223,1.88,0.3991,-1,-1,1.01,0.1973,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,26,48,1.13,14.04,4.004,33.186,24.777,8.02,7.47,8.38,89.1,79.58,0.228,1.89,0.4004,-1,-1,1.02,0.1989,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,27,48.8,1.33,14.04,4.004,33.186,24.777,8.02,7.47,8.38,89.13,79.46,0.23,1.87,0.3982,-1,-1,1.03,0.1996,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,28,50.7,0.44,14.05,4.004,33.186,24.777,8.02,7.46,8.38,88.95,79.37,0.231,1.9,0.4022,-1,-1,1.03,0.1992,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,29,53.6,0.1,14.04,4.003,33.186,24.779,8.01,7.45,8.38,88.79,79.47,0.23,1.86,0.3957,-1,-1,1.03,0.1999,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:57:00,3102,1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,1,45.4,0.39,15.08,4.09,33.1,24.49,8.1,8.4,8.21,102.24,83.2,0.185,0.52,0.1551,-1,-1,0.67,0.1606,-1,-1,-1,-1,-1,E,0.003,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,2,47.1,1.13,15.08,4.092,33.115,24.501,8.1,8.24,8.21,100.35,85.52,0.156,0.56,0.163,-1,-1,0.67,0.1607,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,3,47.9,1.35,15.08,4.092,33.116,24.502,8.1,8.11,8.21,98.67,85.81,0.153,0.63,0.1763,-1,-1,0.67,0.1609,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,4,48.7,1.37,15.02,4.088,33.131,24.526,8.1,8.02,8.22,97.54,86.09,0.15,0.79,0.2042,-1,-1,0.64,0.1581,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,5,49.4,1.22,14.9,4.08,33.162,24.577,8.1,7.94,8.24,96.27,85.39,0.158,0.92,0.227,-1,-1,0.68,0.1623,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,6,50.5,0.84,14.81,4.073,33.175,24.607,8.08,7.88,8.25,95.38,84.62,0.167,1.06,0.253,-1,-1,0.71,0.1658,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,7,51.6,1.1,14.68,4.062,33.187,24.644,8.07,7.83,8.27,94.6,84.19,0.172,1.2,0.2775,-1,-1,0.75,0.17,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,8,52.4,1.32,14.62,4.057,33.193,24.662,8.07,7.79,8.28,94.02,84.15,0.173,1.29,0.2936,-1,-1,0.78,0.1725,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,9,53.2,1.4,14.59,4.055,33.197,24.671,8.06,7.77,8.29,93.66,84.34,0.17,1.38,0.3099,-1,-1,0.79,0.1736,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,10,53.9,1.31,14.53,4.05,33.202,24.688,8.06,7.72,8.3,92.92,84.41,0.17,1.43,0.3176,-1,-1,0.81,0.1756,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,11,54.8,1.03,14.51,4.048,33.204,24.693,8.05,7.64,8.3,91.97,84.39,0.17,1.45,0.3228,-1,-1,0.81,0.1763,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,12,55.8,1.1,14.48,4.046,33.207,24.702,8.05,7.59,8.31,91.3,84.51,0.168,1.49,0.3296,-1,-1,0.82,0.1769,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,13,56.6,1.32,14.39,4.039,33.214,24.725,8.05,7.58,8.32,91,84.47,0.169,1.53,0.3354,-1,-1,0.83,0.1788,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,14,57.3,1.37,14.3,4.031,33.225,24.755,8.04,7.58,8.34,90.87,84.29,0.171,1.56,0.3417,-1,-1,0.85,0.1803,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,15,58.1,1.14,14.29,4.03,33.226,24.757,8.04,7.52,8.34,90.2,84.41,0.17,1.58,0.3448,-1,-1,0.85,0.1808,-1,-1,-1,-1,-1,E,0.007,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,16,59.1,1.02,14.28,4.03,33.228,24.761,8.04,7.47,8.34,89.58,84.53,0.168,1.56,0.3413,-1,-1,0.85,0.1807,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,17,60,1.13,14.25,4.028,33.236,24.772,8.04,7.47,8.34,89.54,85.04,0.162,1.55,0.3402,-1,-1,0.84,0.1794,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,18,60.9,1.21,14.16,4.022,33.256,24.806,8.04,7.49,8.36,89.53,85.69,0.154,1.59,0.3475,-1,-1,0.83,0.1778,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,19,61.7,1.35,14.12,4.019,33.263,24.821,8.03,7.49,8.36,89.53,86.07,0.15,1.63,0.3536,-1,-1,0.82,0.1772,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,20,62.4,1.41,14.08,4.016,33.27,24.835,8.03,7.49,8.37,89.41,86.37,0.147,1.61,0.352,-1,-1,0.81,0.176,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,21,63.2,1.07,14.04,4.013,33.275,24.846,8.03,7.47,8.38,89.16,86.65,0.143,1.72,0.3696,-1,-1,0.81,0.1765,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,22,64.4,0.81,14.06,4.014,33.273,24.841,8.03,7.37,8.37,87.98,86.64,0.143,1.71,0.3689,-1,-1,0.81,0.1757,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,23,65.5,1.2,14.03,4.012,33.276,24.85,8.03,7.26,8.38,86.61,86.66,0.143,1.64,0.3568,-1,-1,0.81,0.1763,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,24,66.2,1.36,14.01,4.01,33.277,24.855,8.03,7.24,8.38,86.3,86.52,0.145,1.6,0.349,-1,-1,0.82,0.1775,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,25,67,1.28,13.93,4.003,33.273,24.868,8.02,7.25,8.4,86.26,86.44,0.145,1.57,0.3448,-1,-1,0.83,0.1783,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,26,67.8,1.15,13.84,3.995,33.281,24.892,8.02,7.21,8.41,85.71,86.73,0.143,1.68,0.3607,-1,-1,0.83,0.178,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,27,68.7,1.21,13.83,3.995,33.285,24.897,8.01,7.1,8.41,84.31,86.77,0.142,1.59,0.3472,-1,-1,0.83,0.178,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,28,69.6,0.99,13.81,3.993,33.285,24.902,8.01,6.9,8.42,81.99,86.78,0.142,1.49,0.3302,-1,-1,0.83,0.1778,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,29,70.7,0.94,13.79,3.991,33.285,24.905,8,6.73,8.42,79.92,86.74,0.142,1.37,0.3059,-1,-1,0.84,0.1788,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,30,71.6,1.23,13.64,3.977,33.291,24.941,8,6.68,8.45,79.05,86.26,0.148,1.15,0.2695,-1,-1,0.88,0.1838,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,31,72.4,1.22,13.55,3.97,33.295,24.963,7.99,6.64,8.46,78.49,85.83,0.153,1.02,0.2469,-1,-1,0.92,0.1878,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,32,73.3,1.06,13.51,3.966,33.296,24.973,7.98,6.62,8.47,78.11,85.64,0.155,1.14,0.2656,-1,-1,0.95,0.1912,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,33,74.2,1.16,13.47,3.963,33.296,24.979,7.97,6.59,8.47,77.68,85.56,0.156,1,0.2423,-1,-1,0.97,0.1934,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,34,75.1,1.19,13.44,3.96,33.298,24.987,7.97,6.52,8.48,76.82,85.56,0.156,0.95,0.2328,-1,-1,0.99,0.1953,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,35,76,0.98,13.42,3.958,33.296,24.989,7.96,6.41,8.48,75.56,85.51,0.156,0.94,0.2302,-1,-1,1,0.1968,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,36,77.1,0.88,13.36,3.952,33.299,25.005,7.96,6.23,8.49,73.36,85.66,0.155,0.88,0.2209,-1,-1,1.05,0.2017,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,37,78.2,1.12,13.27,3.944,33.302,25.026,7.95,6.03,8.51,70.82,85.88,0.152,0.87,0.2182,-1,-1,1.05,0.2024,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,38,79,1.33,13.2,3.939,33.305,25.041,7.94,5.9,8.52,69.17,86.12,0.149,0.79,0.2059,-1,-1,1.06,0.2031,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,39,79.7,1.43,13.06,3.926,33.31,25.072,7.94,5.84,8.55,68.26,86.51,0.146,0.8,0.2033,-1,-1,1.1,0.2069,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,40,80.4,1.43,12.9,3.912,33.313,25.107,7.93,5.82,8.58,67.8,86.06,0.15,0.7,0.1896,-1,-1,1.17,0.2144,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,41,81.1,1.21,12.77,3.898,33.3,25.122,7.91,5.8,8.6,67.47,84.7,0.166,0.71,0.1892,-1,-1,1.26,0.2248,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,42,82.3,0.8,12.65,3.888,33.306,25.15,7.89,5.75,8.62,66.75,83.7,0.178,0.68,0.1846,-1,-1,1.33,0.2319,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,43,83.4,1.02,12.58,3.881,33.305,25.163,7.88,5.65,8.63,65.42,84.01,0.174,0.65,0.179,-1,-1,1.35,0.234,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,44,84.3,1.34,12.55,3.879,33.308,25.172,7.88,5.57,8.64,64.48,83.98,0.175,0.63,0.1749,-1,-1,1.36,0.2348,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,45,85,1.36,12.5,3.874,33.308,25.181,7.88,5.52,8.65,63.81,84.11,0.173,0.6,0.1701,-1,-1,1.38,0.2374,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,46,85.8,1.1,12.41,3.866,33.31,25.2,7.87,5.48,8.66,63.22,84.06,0.174,0.57,0.1648,-1,-1,1.41,0.2409,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,47,86.8,1.09,12.31,3.857,33.312,25.22,7.86,5.44,8.68,62.62,84.08,0.173,0.53,0.1569,-1,-1,1.46,0.2455,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
Winter,LACSD, 02/14/2017, 08:44:00,3103,1,48,87.7,1.2,12.22,3.849,33.315,25.241,7.85,5.36,8.7,61.56,84.29,0.17,0.49,0.1508,-1,-1,1.47,0.2468,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,-1
