Season,Agency,Date,Time,Station ID,Field Rep,Depth,Time (seconds),Descent rate (m/s),Temperature (Deg C),Conductivity (S/m),Salinity (psu),Density,pH,Oxygen (mg/L),SBE DO Sat (mg/L),SBE DO Sat (%),% T,SBE Beam C,Chl-a (ug/L) WET,Voltage (Chl-a) WET,Chl-a (ug/L) USC/UCLA,Chl-a (ug/L) ECO,CDOM (ug/L) WET,Voltage (CDOM) WET,Irradiance,Surface Irradiance,Irradiance (% Norm),delta-T,Stability (E),Qual_NH3,Ammonia (mg/L),Qual_TC,Total Colif. (MPN),Qual_FC,Fecal Colif. (MPN),Qual_EC,E. coli (MPN),Qual_ENT,Enterococci (MPN)
Winter,LACSD, 02/07/2019, 08:48:00,3101,1,1,90.7,0.16,15.01,4.135,33.569,24.867,8.13,7.86,8.2,95.76,81.35,0.826,0.88,0.2268,,,0.59,0.1641,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,LACSD, 02/07/2019, 08:48:00,3101,1,2,93.2,0.79,15.01,4.136,33.575,24.872,8.13,7.87,8.2,95.95,82.46,0.772,0.93,0.2353,,,0.58,0.163,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,LACSD, 02/07/2019, 08:48:00,3101,1,3,94.3,0.94,15.01,4.136,33.575,24.872,8.13,7.88,8.2,95.98,82.55,0.767,0.96,0.2414,,,0.58,0.1636,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,LACSD, 02/07/2019, 08:48:00,3101,1,4,95.5,0.81,15.01,4.136,33.575,24.872,8.13,7.88,8.2,96.03,82.57,0.766,1.05,0.2574,,,0.59,0.1642,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,LACSD, 02/07/2019, 08:48:00,3101,1,5,97,0.59,15.01,4.136,33.575,24.872,8.13,7.89,8.2,96.16,82.61,0.764,1.03,0.2534,,,0.59,0.1638,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,LACSD, 02/07/2019, 08:48:00,3101,1,6,98.4,1.06,15.01,4.136,33.575,24.872,8.13,7.88,8.2,96.08,82.57,0.766,1.01,0.2495,,,0.59,0.1639,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,LACSD, 02/07/2019, 08:48:00,3101,1,7,99.3,1.07,15.01,4.136,33.575,24.872,8.13,7.87,8.2,95.95,82.57,0.766,1.02,0.2517,,,0.59,0.1642,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,LACSD, 02/07/2019, 08:48:00,3101,1,8,100.5,0.71,15.01,4.136,33.575,24.872,8.13,7.87,8.2,95.89,82.4,0.774,1,0.2487,,,0.58,0.1634,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,LACSD, 02/07/2019, 08:48:00,3101,1,9,101.8,0.84,15.01,4.136,33.575,24.872,8.13,7.87,8.2,95.89,82.53,0.768,1.04,0.2563,,,0.58,0.1632,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,LACSD, 02/07/2019, 08:48:00,3101,1,10,102.9,0.93,15.01,4.136,33.575,24.872,8.13,7.85,8.2,95.73,82.46,0.772,1,0.2482,,,0.58,0.1631,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Winter,LACSD, 02/07/2019, 08:48:00,3101,1,11,104,0.88,15.01,4.136,33.575,24.872,8.13,7.85,8.2,95.64,82.29,0.78,0.99,0.2471,,,0.58,0.1631,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
