Season,Agency,Date,Time,Station,Field Rep,Depth [m],Time [s],Descent rate [m/s],Temperature [°C],Conductivity [S/m],Salinity [psu],Density (å-theta),pH,Oxygen [mg/L],SBE DO sat [mg/L],SBE DO sat [%],Transmissivity [%],SBE Beam C [1/m],Chl-a [ug/L],Voltage-Chl-a [V],CDOM [ug/L],Voltage-CDOM [V],Ammonia-N [mg/L],Total Colif. [MPN/100mL],E. coli [MPN/100mL],Enterococci [MPN/100mL]
Winter,Hyperion,3/12/2018,12:25:00,4001,1,1,106.2,0.61,15.24,4.119,33.228,24.554,8.24,8.9,8.18,108.73,77.9,0.999,0.9,0.2595,0.47,0.133,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,2,107.6,0.76,15.22,4.118,33.235,24.565,8.24,8.87,8.18,108.32,78.32,0.977,1.02,0.2832,0.46,0.1326,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,3,109.1,0.58,15.13,4.113,33.267,24.609,8.24,8.82,8.19,107.59,78.17,0.985,1.14,0.3078,0.44,0.1307,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,4,110.8,0.61,15.04,4.109,33.297,24.65,8.24,8.76,8.21,106.65,78.56,0.965,1.42,0.3644,0.37,0.1259,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,5,112.4,0.69,14.92,4.101,33.332,24.704,8.24,8.74,8.23,106.17,79.01,0.942,1.59,0.3989,0.3,0.121,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,6,113.8,0.71,14.78,4.091,33.362,24.756,8.24,8.75,8.25,106.05,79.33,0.926,1.35,0.3503,0.26,0.1181,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,7,115.3,0.68,14.71,4.087,33.38,24.786,8.25,8.73,8.26,105.58,80.45,0.87,1.15,0.3094,0.24,0.1171,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,8,116.8,0.69,14.68,4.085,33.388,24.798,8.25,8.62,8.26,104.2,81.71,0.808,1.14,0.3075,0.23,0.1161,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,9,118.1,0.78,14.5,4.07,33.414,24.858,8.25,8.56,8.29,103.1,82.29,0.779,1.03,0.2864,0.2,0.1144,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,10,119.5,0.68,14.31,4.055,33.435,24.913,8.25,8.5,8.32,102.04,83.01,0.745,0.9,0.2599,0.2,0.1143,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,11,121.1,0.59,14.22,4.048,33.442,24.937,8.24,8.47,8.34,101.58,83.59,0.717,0.89,0.259,0.21,0.1148,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,12,122.5,1.01,14.03,4.031,33.459,24.991,8.24,8.53,8.37,101.84,83.76,0.709,0.75,0.2302,0.21,0.1148,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,13,123.8,0.63,13.71,4.004,33.486,25.077,8.25,8.54,8.42,101.29,83.91,0.702,0.8,0.2409,0.22,0.1154,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,14,125.4,0.68,13.54,3.99,33.507,25.129,8.25,8.57,8.45,101.33,84.12,0.692,0.77,0.2344,0.22,0.1156,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,15,126.7,0.84,13.52,3.99,33.509,25.133,8.25,8.56,8.45,101.21,84.76,0.662,0.8,0.2392,0.23,0.1162,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,16,128.10001,0.62,13.52,3.989,33.51,25.135,8.25,8.56,8.45,101.15,84.64,0.667,0.78,0.2353,0.23,0.1161,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,17,129.89999,0.55,13.51,3.989,33.512,25.138,8.25,8.56,8.46,101.12,84.93,0.654,0.79,0.2379,0.22,0.1156,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:25:00,4001,1,18,132.5,0.28,13.5,3.988,33.514,25.141,8.25,8.55,8.46,101.02,84.94,0.653,0.77,0.2333,0.22,0.1158,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,1,109.4,0.5,15.16,4.093,33.06,24.442,8.26,9.21,8.2,112.18,80.32,0.877,0.49,0.1771,0.71,0.1502,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,2,111,0.61,14.91,4.081,33.16,24.574,8.27,9.33,8.24,113.2,81.54,0.816,0.5,0.1795,0.61,0.1433,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,3,113,0.44,14.83,4.084,33.257,24.666,8.27,9.26,8.24,112.26,82,0.794,0.43,0.1668,0.45,0.1317,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,4,115.1,0.61,14.86,4.093,33.313,24.702,8.27,9.21,8.24,111.68,83.69,0.712,0.83,0.2456,0.31,0.1219,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,5,116.7,0.61,14.87,4.094,33.319,24.705,8.27,9.13,8.23,110.75,83.6,0.717,1.34,0.3476,0.31,0.1216,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,6,118.3,0.65,14.88,4.097,33.329,24.709,8.27,8.94,8.23,108.58,82.47,0.771,1.64,0.408,0.3,0.1215,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,7,119.9,0.67,14.88,4.099,33.351,24.727,8.27,8.96,8.23,108.78,81.7,0.809,1.61,0.4027,0.29,0.1204,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,8,121.5,0.58,14.49,4.069,33.41,24.856,8.27,8.99,8.29,108.27,81.72,0.807,0.98,0.2754,0.14,0.1097,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,9,123.1,0.7,14.36,4.06,33.438,24.906,8.27,8.92,8.31,107.24,82.82,0.754,0.9,0.2607,0.11,0.1077,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,10,124.3,0.94,14.26,4.054,33.47,24.95,8.27,9,8.33,108.03,84.26,0.685,0.83,0.246,0.13,0.1088,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,11,125.6,0.62,14.01,4.033,33.485,25.013,8.27,9.11,8.37,108.71,85.13,0.644,0.75,0.2304,0.15,0.1104,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,12,127.4,0.59,13.92,4.024,33.486,25.034,8.27,9.26,8.39,110.33,85.66,0.619,0.73,0.2269,0.13,0.1094,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,13,128.8,0.89,13.79,4.012,33.486,25.062,8.27,9.34,8.41,111.05,86.21,0.594,0.65,0.2093,0.12,0.1082,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,14,130,0.71,13.62,3.997,33.502,25.109,8.28,9.27,8.44,109.81,86.51,0.58,0.75,0.2296,0.14,0.11,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,15,131.60001,0.61,13.59,3.996,33.513,25.124,8.28,9.02,8.44,106.72,86.17,0.595,0.82,0.2437,0.16,0.111,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,16,133,0.98,13.52,3.991,33.519,25.141,8.28,8.71,8.45,102.97,85.74,0.616,0.73,0.2263,0.17,0.1121,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,17,134.5,0.53,13.36,3.975,33.521,25.176,8.28,8.48,8.48,99.89,85.67,0.619,0.82,0.2435,0.21,0.115,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,18,136.10001,0.71,13.26,3.966,33.522,25.197,8.27,8.32,8.5,97.86,85.74,0.615,1.01,0.2829,0.25,0.1174,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,19,137.39999,0.87,13.21,3.961,33.524,25.209,8.26,8.28,8.51,97.25,86.01,0.603,1.36,0.3519,0.23,0.1163,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,20,138.8,0.61,13.19,3.961,33.525,25.212,8.25,8.21,8.51,96.47,85.58,0.623,1.48,0.3766,0.24,0.1166,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,21,140.3,0.75,13.18,3.959,33.525,25.215,8.24,8.09,8.51,94.96,85.58,0.623,1.62,0.4031,0.23,0.1164,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,22,141.7,0.73,13.14,3.956,33.525,25.223,8.24,7.98,8.52,93.6,85.39,0.632,1.45,0.3707,0.23,0.1162,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,23,143.2,0.63,13.11,3.953,33.526,25.23,8.23,7.77,8.53,91.14,85.3,0.636,1.72,0.4249,0.23,0.1165,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,24,144.60001,0.94,13.07,3.949,33.525,25.238,8.23,7.55,8.53,88.49,84.9,0.655,1.82,0.4443,0.23,0.116,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,25,145.8,0.73,12.99,3.942,33.526,25.253,8.22,7.48,8.55,87.53,85.19,0.641,1.6,0.3992,0.22,0.1158,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,26,147.5,0.54,12.96,3.939,33.526,25.26,8.21,7.36,8.55,86.06,84.98,0.651,1.47,0.374,0.22,0.1155,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,27,149.10001,0.74,12.91,3.934,33.524,25.268,8.2,7.28,8.56,84.99,84.84,0.658,1.55,0.3897,0.22,0.1157,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,28,150.39999,0.73,12.88,3.931,33.525,25.276,8.2,7.27,8.57,84.81,85.07,0.647,1.53,0.3862,0.21,0.1148,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,29,152,0.62,12.87,3.931,33.525,25.276,8.19,7.17,8.57,83.63,84.95,0.653,1.6,0.3994,0.23,0.1161,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,30,153.39999,0.84,12.86,3.93,33.524,25.278,8.19,6.91,8.57,80.56,85.02,0.649,1.62,0.4045,0.22,0.1158,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,31,154.5,0.92,12.74,3.918,33.519,25.298,8.18,6.74,8.59,78.41,84.99,0.65,1.5,0.3798,0.21,0.1146,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,32,155.8,0.67,12.64,3.909,33.521,25.319,8.18,6.65,8.61,77.26,84.87,0.656,1.78,0.4355,0.2,0.1141,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,33,157.5,0.54,12.59,3.904,33.524,25.331,8.17,6.6,8.62,76.57,84.56,0.671,1.9,0.4606,0.19,0.1136,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,34,159.10001,0.9,12.57,3.903,33.524,25.333,8.16,6.48,8.62,75.14,84.42,0.678,1.73,0.4257,0.19,0.1133,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,35,160.3,0.76,12.53,3.899,33.523,25.342,8.16,6.38,8.63,73.89,84.07,0.694,1.69,0.4175,0.19,0.1137,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,36,162,0.5,12.43,3.89,33.524,25.361,8.15,6.32,8.65,73.05,84.2,0.688,1.41,0.3613,0.18,0.1129,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,37,163.60001,0.77,12.4,3.888,33.524,25.367,8.15,6.24,8.65,72.12,84.75,0.662,1.34,0.3475,0.19,0.1134,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,38,164.89999,0.82,12.39,3.886,33.524,25.371,8.14,6.12,8.66,70.71,84.89,0.655,1.23,0.3263,0.2,0.1139,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,39,166.10001,0.88,12.31,3.879,33.522,25.382,8.14,6,8.67,69.24,84.98,0.651,1.47,0.3737,0.19,0.1132,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,40,167.5,0.62,12.2,3.868,33.521,25.403,8.13,5.92,8.69,68.11,84.88,0.656,1.62,0.4043,0.17,0.1119,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,41,169.10001,0.65,12.14,3.863,33.521,25.414,8.13,5.79,8.7,66.5,84.7,0.664,1.53,0.3862,0.15,0.1108,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,42,170.60001,0.68,12.04,3.853,33.521,25.434,8.12,5.72,8.72,65.59,84.65,0.666,1.46,0.372,0.16,0.1114,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,43,172.10001,0.61,12,3.85,33.526,25.446,8.12,5.69,8.73,65.24,84.74,0.662,1.52,0.3839,0.17,0.1119,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,44,173.7,0.73,12,3.851,33.528,25.447,8.11,5.66,8.73,64.85,84.44,0.676,1.49,0.3781,0.19,0.1133,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,45,175,0.73,11.99,3.85,33.529,25.449,8.11,5.62,8.73,64.35,83.95,0.7,1.38,0.3551,0.2,0.114,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,46,176.5,0.66,11.97,3.849,33.532,25.455,8.1,5.55,8.73,63.51,83.34,0.729,1.41,0.3627,0.21,0.1148,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,47,177.89999,0.78,11.92,3.844,33.531,25.464,8.1,5.47,8.74,62.59,82.62,0.764,1.42,0.3646,0.22,0.1156,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,48,179.3,0.65,11.86,3.838,33.532,25.477,8.1,5.38,8.75,61.46,82.16,0.786,1.36,0.3526,0.2,0.1143,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,49,180.89999,0.64,11.78,3.832,33.536,25.494,8.09,5.33,8.77,60.75,81.83,0.802,1.4,0.3591,0.2,0.1138,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,50,182.8,0.47,11.67,3.821,33.534,25.513,8.09,5.27,8.79,59.91,82.28,0.78,1.33,0.3469,0.2,0.1138,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,51,184.39999,1.03,11.55,3.81,33.533,25.534,8.09,5.14,8.81,58.38,82.87,0.752,1.05,0.2901,0.14,0.11,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,52,185.39999,0.93,11.46,3.803,33.545,25.56,8.09,5.07,8.83,57.49,82.5,0.77,1.03,0.2864,0.14,0.1101,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,53,186.7,0.72,11.43,3.802,33.555,25.573,8.08,5.02,8.83,56.83,85.21,0.64,1.14,0.3086,0.2,0.1139,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,54,188,0.81,11.4,3.799,33.559,25.583,8.08,4.96,8.84,56.16,84.2,0.688,1.39,0.3576,0.19,0.1134,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,55,189.8,0.46,11.34,3.794,33.564,25.597,8.07,4.88,8.85,55.14,82.64,0.763,1.5,0.3794,0.2,0.1143,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,56,191.60001,0.73,11.25,3.786,33.57,25.619,8.07,4.77,8.87,53.76,81.17,0.835,1.71,0.4216,0.22,0.1152,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,57,192.8,0.9,11.13,3.776,33.58,25.647,8.07,4.67,8.89,52.57,80.1,0.888,1.65,0.4104,0.23,0.1162,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,58,194.3,0.59,10.95,3.762,33.601,25.695,8.07,4.64,8.92,51.97,79.23,0.931,1.48,0.3755,0.2,0.1142,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,59,195.89999,0.65,10.86,3.755,33.613,25.722,8.06,4.62,8.94,51.7,79.9,0.898,1.29,0.3376,0.21,0.1152,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,60,197.39999,0.7,10.79,3.75,33.622,25.741,8.06,4.59,8.95,51.27,80.3,0.878,1.14,0.3082,0.2,0.1144,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,61,198.8,0.76,10.74,3.745,33.632,25.758,8.06,4.56,8.96,50.94,81.27,0.829,0.94,0.2683,0.2,0.1142,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,62,200.10001,0.76,10.73,3.745,33.634,25.762,8.06,4.55,8.96,50.8,82.47,0.771,0.9,0.2605,0.21,0.1148,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,63,201.7,0.59,10.72,3.744,33.637,25.766,8.05,4.54,8.97,50.65,83.25,0.733,0.8,0.2397,0.21,0.1148,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,64,203.2,0.77,10.71,3.744,33.638,25.766,8.05,4.51,8.97,50.29,83.75,0.709,0.8,0.2404,0.2,0.1144,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,65,204.5,0.75,10.7,3.743,33.641,25.772,8.05,4.49,8.97,50.05,83.79,0.708,0.79,0.2381,0.21,0.1146,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,66,206,0.65,10.68,3.742,33.645,25.778,8.05,4.48,8.97,49.94,84.02,0.696,0.73,0.2261,0.22,0.1157,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,67,207.7,0.54,10.68,3.742,33.645,25.778,8.05,4.47,8.97,49.88,83.94,0.7,0.71,0.2213,0.22,0.1153,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,68,209.3,0.75,10.68,3.742,33.645,25.778,8.04,4.48,8.97,49.9,83.86,0.704,0.7,0.2202,0.21,0.115,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,69,210.7,0.71,10.68,3.742,33.645,25.779,8.04,4.47,8.97,49.87,83.82,0.706,0.69,0.2182,0.21,0.1151,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,70,212,0.85,10.68,3.742,33.646,25.778,8.04,4.48,8.97,49.89,83.82,0.706,0.7,0.2209,0.22,0.1153,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,71,213.60001,0.5,10.68,3.742,33.646,25.78,8.04,4.47,8.97,49.87,83.78,0.708,0.71,0.2212,0.23,0.116,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,72,215.39999,0.66,10.68,3.742,33.646,25.78,8.04,4.48,8.97,49.92,83.84,0.705,0.7,0.2209,0.22,0.1152,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,73,216.60001,1.07,10.68,3.742,33.646,25.779,8.04,4.48,8.97,49.95,83.86,0.704,0.73,0.2259,0.22,0.1157,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,74,217.7,0.86,10.68,3.742,33.646,25.779,8.04,4.48,8.97,49.92,83.86,0.704,0.67,0.2147,0.23,0.1163,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,75,219.39999,0.45,10.68,3.742,33.646,25.779,8.04,4.47,8.97,49.88,83.93,0.701,0.69,0.2189,0.22,0.1156,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:14:00,4002,1,76,221.89999,0.21,10.67,3.741,33.647,25.782,8.04,4.46,8.97,49.73,83.97,0.699,0.73,0.226,0.22,0.1157,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:01:00,4003,1,1,110.8,0.48,14.81,4.101,33.426,24.8,8.27,8.97,8.24,108.78,84.25,0.685,0.32,0.1448,-0.07,0.0954,0.01,10,5,5
Winter,Hyperion,3/12/2018,12:01:00,4003,1,2,112.4,0.68,14.84,4.104,33.426,24.793,8.27,8.94,8.23,108.45,84.29,0.684,0.36,0.1526,-0.07,0.0952,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:01:00,4003,1,3,114,0.62,14.82,4.101,33.423,24.796,8.27,9,8.24,109.16,84.33,0.682,0.4,0.1609,-0.06,0.096,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:01:00,4003,1,4,115.5,0.71,14.6,4.081,33.425,24.844,8.27,9.12,8.27,110.09,84.44,0.677,0.38,0.1551,-0.07,0.095,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:01:00,4003,1,5,117,0.62,14.51,4.072,33.419,24.858,8.28,9.26,8.29,111.67,84.47,0.675,0.4,0.1602,-0.07,0.0954,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:01:00,4003,1,6,118.4,0.83,14.34,4.055,33.415,24.892,8.28,9.39,8.32,112.76,84.49,0.674,0.5,0.1803,-0.05,0.0967,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:01:00,4003,1,7,119.9,0.62,14.21,4.044,33.42,24.922,8.29,9.45,8.34,113.2,84.24,0.686,0.6,0.2008,-0.02,0.0983,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:01:00,4003,1,8,121.5,0.66,14.18,4.042,33.427,24.935,8.3,9.47,8.35,113.39,83.85,0.705,0.68,0.2151,0,0.0997,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:01:00,4003,1,9,122.9,0.71,14.13,4.037,33.431,24.948,8.3,9.51,8.35,113.78,83.71,0.711,0.7,0.2192,0.01,0.1009,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:01:00,4003,1,10,124.3,0.71,14.04,4.029,33.435,24.97,8.3,9.55,8.37,114.08,83.71,0.711,0.72,0.2235,0.02,0.1015,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:01:00,4003,1,11,125.9,0.62,13.98,4.024,33.44,24.987,8.31,9.56,8.38,114.01,83.9,0.702,0.88,0.2559,0.03,0.1021,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:01:00,4003,1,12,127.4,0.67,13.92,4.021,33.451,25.006,8.31,9.55,8.39,113.75,84.14,0.691,1.06,0.2919,0.05,0.1036,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:01:00,4003,1,13,128.89999,0.69,13.89,4.019,33.461,25.021,8.31,9.55,8.39,113.75,83.86,0.704,1,0.2803,0.06,0.1042,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:01:00,4003,1,14,130.5,0.59,13.89,4.019,33.471,25.03,8.31,9.49,8.39,112.94,83.77,0.708,1.27,0.3338,0.06,0.1042,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:01:00,4003,1,15,132,0.9,13.88,4.02,33.478,25.036,8.31,9.39,8.39,111.77,83.48,0.722,1.21,0.3228,0.06,0.1042,0.01,5,5,5
Winter,Hyperion,3/12/2018,12:01:00,4003,1,16,133.10001,0.83,13.8,4.014,33.495,25.065,8.31,9.25,8.41,109.93,83.38,0.727,1.03,0.2859,0.08,0.1054,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:01:00,4003,1,17,134.7,0.5,13.66,4.003,33.511,25.107,8.31,9,8.43,106.68,83.9,0.702,0.86,0.2513,0.12,0.1083,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:01:00,4003,1,18,136.5,0.68,13.47,3.986,33.523,25.156,8.3,8.87,8.46,104.75,84.36,0.681,0.86,0.2523,0.18,0.1124,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:01:00,4003,1,19,137.89999,0.75,13.43,3.982,33.522,25.163,8.29,8.82,8.47,104.06,84.88,0.656,0.97,0.275,0.2,0.1143,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:01:00,4003,1,20,139.2,0.81,13.41,3.981,33.522,25.166,8.28,8.78,8.47,103.53,85.13,0.644,0.97,0.2748,0.21,0.1146,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:01:00,4003,1,21,140.7,0.61,13.4,3.98,33.523,25.169,8.28,8.62,8.47,101.7,85.59,0.622,1.27,0.3337,0.21,0.1149,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:01:00,4003,1,22,142.2,0.78,13.35,3.975,33.521,25.177,8.27,8.48,8.48,99.88,85.71,0.617,0.98,0.2763,0.23,0.1161,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:01:00,4003,1,23,143.7,0.59,13.29,3.969,33.522,25.191,8.27,8.36,8.49,98.4,85.78,0.614,1.06,0.2924,0.23,0.1165,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:01:00,4003,1,24,145.3,0.71,13.27,3.968,33.521,25.193,8.26,8,8.5,94.05,85.69,0.618,1.08,0.2956,0.24,0.1166,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:01:00,4003,1,25,146.7,0.68,13.14,3.955,33.517,25.216,8.26,7.71,8.52,90.45,85.84,0.611,1.26,0.333,0.23,0.1163,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:01:00,4003,1,26,148.3,0.64,13.02,3.943,33.516,25.241,8.25,7.52,8.54,87.96,85.89,0.609,1.39,0.3586,0.24,0.1166,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:01:00,4003,1,27,149.8,0.68,12.97,3.939,33.517,25.252,8.23,7.19,8.55,84.04,85.69,0.618,1.38,0.357,0.23,0.1159,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:01:00,4003,1,28,151,0.97,12.84,3.927,33.515,25.275,8.22,7,8.58,81.57,85.2,0.641,1.54,0.3873,0.22,0.1154,NaN,NaN,NaN,NaN
Winter,Hyperion,3/12/2018,12:01:00,4003,1,29,152.60001,0.48,12.7,3.914,33.517,25.303,8.21,6.82,8.6,79.3,84.86,0.657,1.69,0.4171,0.21,0.1147,NaN,NaN,NaN,NaN
