Season,Agency,Date,Time,Station ID,Field Rep,Depth [m],Time [s],Descent rate [m/s],Temperature [°C],Conductivity [S/m],Salinity [psu],Density (å-theta),pH,Oxygen [mg/L],SBE DO sat [mg/L],SBE DO sat [%],Transmissivity [%],SBE Beam C [1/m],Chl-a [ug/L],Voltage-Chl-a [V],CDOM [ug/L],Voltage-CDOM [V],Ammonia-N [mg/L],Total Colif. [MPN/100mL],E. coli [MPN/100mL],Enterococci [MPN/100mL]
Winter,Hyperion,3/21/2017,12:29:00,4001,1,1,106.1,0.69,15.42,4.146,33.315,24.581,8.13,8.81,8.14,108.09,87.82,0.13,0.56,0.1737,0.61,0.1549,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:29:00,4001,1,2,107.7,0.62,15.41,4.145,33.315,24.583,8.13,8.83,8.15,108.3,87.76,0.131,0.57,0.184,0.61,0.1543,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:29:00,4001,1,3,109.2,0.72,15.4,4.144,33.314,24.585,8.13,8.84,8.15,108.36,87.68,0.132,0.58,0.189,0.61,0.1549,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:29:00,4001,1,4,110.7,0.59,15.4,4.144,33.315,24.586,8.13,8.85,8.15,108.56,87.63,0.132,0.63,0.1857,0.61,0.1546,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:29:00,4001,1,5,112.3,0.7,15.39,4.143,33.314,24.588,8.13,8.86,8.15,108.65,87.5,0.134,0.71,0.1955,0.61,0.1552,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:29:00,4001,1,6,113.7,0.77,15.36,4.141,33.313,24.593,8.13,8.87,8.15,108.67,87.11,0.138,0.69,0.2097,0.61,0.1563,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:29:00,4001,1,7,115.1,0.63,15.31,4.136,33.312,24.602,8.13,8.9,8.16,108.92,86.41,0.146,0.7,0.23,0.62,0.1584,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:29:00,4001,1,8,116.7,0.67,15.27,4.132,33.31,24.611,8.13,8.9,8.17,108.85,85.66,0.155,0.76,0.2525,0.64,0.1624,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:29:00,4001,1,9,118.2,0.67,15.21,4.126,33.308,24.621,8.13,8.9,8.18,108.67,84.64,0.167,0.85,0.2898,0.67,0.1667,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:29:00,4001,1,10,119.7,0.7,15.17,4.122,33.307,24.629,8.13,8.82,8.18,107.66,84.01,0.174,0.98,0.3215,0.71,0.1703,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:29:00,4001,1,11,121.1,0.69,15.11,4.116,33.305,24.642,8.13,8.64,8.2,105.38,83.51,0.18,1.11,0.3344,0.75,0.1739,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:29:00,4001,1,12,122.7,0.62,14.9,4.097,33.307,24.688,8.12,8.45,8.23,102.66,83.24,0.183,1.34,0.3767,0.78,0.179,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:29:00,4001,1,13,124.3,0.67,14.53,4.062,33.312,24.772,8.1,8.42,8.29,101.51,83.04,0.186,1.46,0.4463,0.82,0.1873,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:29:00,4001,1,14,125.6,0.81,14.36,4.047,33.317,24.813,8.09,8.44,8.32,101.3,83.43,0.181,1.59,0.4539,0.88,0.1897,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:29:00,4001,1,15,127.2,0.54,14.25,4.037,33.32,24.838,8.08,8.42,8.34,100.94,83.62,0.179,1.85,0.4549,0.93,0.1919,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:29:00,4001,1,16,129.8,0.31,14.19,4.031,33.315,24.845,8.08,8.22,8.35,98.38,83.71,0.178,2.22,0.4459,0.96,0.1937,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:29:00,4001,1,17,133.5,0.15,13.72,3.988,33.323,24.948,8.07,7.99,8.43,94.76,84.11,0.173,2.15,0.4573,1,0.2013,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,1,133.3,0.63,15.57,4.162,33.329,24.559,8.13,8.73,8.12,107.37,89.05,0.116,0.46,0.1495,0.57,0.1498,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,2,134.7,0.73,15.56,4.161,33.329,24.56,8.13,8.75,8.12,107.68,88.98,0.117,0.47,0.1523,0.56,0.1501,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,3,136.2,0.62,15.55,4.16,33.329,24.563,8.13,8.75,8.12,107.59,89.01,0.116,0.49,0.1568,0.57,0.1498,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,4,137.7,0.73,15.55,4.16,33.329,24.563,8.13,8.77,8.12,107.83,88.94,0.117,0.48,0.1621,0.57,0.1504,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,5,139.2,0.63,15.55,4.16,33.329,24.564,8.13,8.76,8.12,107.74,88.9,0.118,0.51,0.1668,0.57,0.1501,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,6,140.7,0.76,15.54,4.16,33.329,24.565,8.13,8.75,8.12,107.64,88.9,0.118,0.53,0.1682,0.57,0.1499,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,7,142.10001,0.7,15.52,4.158,33.328,24.568,8.13,8.77,8.13,107.81,88.74,0.119,0.56,0.1768,0.57,0.1498,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,8,143.5,0.68,15.41,4.145,33.318,24.587,8.13,8.83,8.15,108.28,87.56,0.133,0.58,0.2092,0.56,0.153,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,9,145,0.72,15.02,4.108,33.307,24.663,8.13,8.88,8.21,108.09,85.06,0.162,0.6,0.3082,0.57,0.1651,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,10,146.39999,0.68,14.82,4.089,33.307,24.707,8.13,8.84,8.24,107.21,83.54,0.18,0.65,0.4082,0.66,0.1743,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,11,147.89999,0.7,14.76,4.083,33.308,24.72,8.12,8.77,8.25,106.12,83.09,0.185,0.91,0.4664,0.77,0.1788,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,12,149.2,0.79,14.65,4.073,33.306,24.741,8.12,8.67,8.27,104.76,82.96,0.187,1.51,0.5093,0.82,0.1825,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,13,150.60001,0.68,14.34,4.045,33.309,24.809,8.11,8.64,8.32,103.72,82.61,0.191,1.98,0.6148,0.85,0.1877,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,14,152,0.73,13.98,4.011,33.313,24.888,8.1,8.64,8.39,102.98,82.05,0.198,2.29,0.8475,0.9,0.194,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,15,153.5,0.67,13.86,4.001,33.32,24.917,8.09,8.53,8.4,101.4,81.35,0.206,2.52,0.8077,0.95,0.1973,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,16,154.89999,0.8,13.79,3.994,33.319,24.932,8.09,8.42,8.42,99.96,81.46,0.205,3.35,0.873,1,0.2001,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,17,156.3,0.65,13.71,3.987,33.325,24.954,8.08,8.19,8.43,97.07,81.82,0.201,4.35,0.8718,1.02,0.2014,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,18,157.8,0.68,13.61,3.978,33.326,24.975,8.07,7.84,8.45,92.7,82.15,0.197,4.23,0.7778,1.04,0.2046,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,19,159.3,0.67,13.47,3.966,33.331,25.006,8.05,7.46,8.47,88.06,83.05,0.186,4.54,0.7245,1.06,0.2083,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,20,160.8,0.7,13.28,3.949,33.34,25.052,8.02,7.18,8.51,84.38,83.56,0.18,4.39,0.5911,1.09,0.2128,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,21,162.10001,0.77,13.13,3.935,33.344,25.085,8.01,7.05,8.53,82.6,84.79,0.165,4,0.5065,1.14,0.2128,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,22,163.39999,0.76,13.01,3.925,33.35,25.112,7.99,7.01,8.55,81.92,86.19,0.149,3.61,0.4346,1.16,0.211,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,23,164.8,0.73,13,3.924,33.351,25.116,7.98,6.9,8.55,80.66,86.53,0.145,2.94,0.4455,1.14,0.2104,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,24,166.2,0.69,12.96,3.92,33.353,25.126,7.98,6.79,8.56,79.28,86.91,0.14,2.46,0.3691,1.13,0.2112,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,25,167.8,0.61,12.88,3.914,33.357,25.144,7.97,6.65,8.58,77.49,87.04,0.139,2.06,0.3513,1.13,0.2131,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,26,169.3,0.72,12.81,3.908,33.362,25.162,7.96,6.53,8.59,76.01,87.18,0.137,2.04,0.3931,1.15,0.2133,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,27,170.8,0.71,12.75,3.903,33.366,25.176,7.95,6.45,8.6,75.04,87.41,0.135,1.62,0.3218,1.16,0.2131,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,28,172.10001,0.76,12.72,3.901,33.37,25.185,7.94,6.3,8.6,73.21,86.33,0.147,1.66,0.3404,1.15,0.2137,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,29,173.5,0.73,12.7,3.899,33.37,25.19,7.94,5.98,8.61,69.48,85.68,0.155,1.83,0.2877,1.16,0.2153,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,30,174.89999,0.68,12.53,3.883,33.379,25.23,7.91,5.86,8.64,67.83,86.56,0.144,1.4,0.2837,1.17,0.2152,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,31,176.39999,0.66,12.43,3.875,33.385,25.254,7.89,5.82,8.66,67.17,87.66,0.132,1.54,0.2874,1.18,0.2151,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,32,177.89999,0.73,12.41,3.873,33.386,25.258,7.89,5.73,8.66,66.18,87.81,0.13,1.2,0.2751,1.17,0.2152,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,33,179.2,0.73,12.37,3.87,33.388,25.269,7.89,5.67,8.67,65.35,87.84,0.13,1.25,0.2267,1.17,0.2154,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,34,180.60001,0.77,12.33,3.867,33.39,25.276,7.88,5.58,8.67,64.36,88.1,0.127,1.27,0.2113,1.18,0.216,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,35,181.89999,0.73,12.29,3.863,33.391,25.286,7.87,5.48,8.68,63.13,88.33,0.124,1.17,0.2032,1.18,0.2186,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,36,183.39999,0.64,12.21,3.854,33.377,25.291,7.86,5.42,8.7,62.3,88.97,0.117,0.91,0.2015,1.19,0.2309,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,37,185,0.65,12.15,3.848,33.371,25.296,7.85,5.35,8.71,61.46,89.06,0.116,0.82,0.201,1.29,0.2384,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,38,186.39999,0.76,12.07,3.84,33.358,25.301,7.84,5.31,8.72,60.81,89.66,0.109,0.75,0.1884,1.36,0.248,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,39,187.7,0.74,12.02,3.835,33.355,25.309,7.83,5.28,8.73,60.46,90.09,0.104,0.79,0.1935,1.44,0.2501,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,40,189.39999,0.57,12,3.833,33.359,25.316,7.83,5.22,8.74,59.76,90.2,0.103,0.76,0.2029,1.5,0.2495,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,41,191,0.71,11.98,3.832,33.367,25.325,7.83,5.16,8.74,59.03,89.68,0.109,0.72,0.1999,1.49,0.2477,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,42,192.39999,0.72,11.94,3.829,33.376,25.341,7.82,5.14,8.75,58.77,89.62,0.11,0.75,0.1972,1.49,0.2443,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,43,193.7,0.83,11.92,3.828,33.382,25.349,7.82,5.13,8.75,58.62,89.39,0.112,0.79,0.2084,1.46,0.2424,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,44,195,0.73,11.91,3.828,33.385,25.352,7.82,5.13,8.75,58.57,89.37,0.112,0.77,0.1951,1.44,0.2406,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,45,196.5,0.6,11.91,3.828,33.39,25.358,7.82,5.11,8.75,58.41,89.08,0.116,0.76,0.195,1.42,0.2383,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,46,198.3,0.57,11.91,3.829,33.396,25.362,7.82,5.09,8.75,58.1,88.51,0.122,0.78,0.1853,1.39,0.2354,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,47,199.8,0.73,11.89,3.827,33.396,25.366,7.82,5.05,8.76,57.69,88.87,0.118,0.74,0.1779,1.36,0.2361,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,48,201.3,0.67,11.87,3.825,33.398,25.371,7.81,5.04,8.76,57.5,88.71,0.12,0.73,0.2019,1.37,0.2349,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,49,202.8,0.66,11.85,3.824,33.403,25.377,7.81,5.02,8.76,57.31,88.56,0.121,0.67,0.1857,1.36,0.2335,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,50,204.39999,0.62,11.85,3.824,33.404,25.379,7.81,5.01,8.76,57.23,88.65,0.121,0.7,0.1761,1.35,0.2332,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,51,205.89999,0.73,11.83,3.822,33.403,25.382,7.81,5.01,8.77,57.17,89.07,0.116,0.74,0.178,1.34,0.2331,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,52,207.3,0.73,11.81,3.82,33.403,25.386,7.81,4.98,8.77,56.74,89.63,0.109,0.67,0.1762,1.34,0.2325,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,53,208.60001,0.74,11.79,3.819,33.405,25.391,7.81,4.86,8.77,55.38,89.69,0.109,0.63,0.1871,1.33,0.232,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,54,210.10001,0.59,11.74,3.815,33.409,25.404,7.8,4.64,8.78,52.81,88.99,0.117,0.65,0.1967,1.33,0.233,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,55,211.7,0.71,11.54,3.799,33.434,25.459,7.78,4.53,8.82,51.4,87.84,0.13,0.63,0.1768,1.33,0.2376,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,56,213.3,0.62,11.47,3.793,33.443,25.48,7.77,4.46,8.83,50.44,88.32,0.124,0.73,0.1639,1.37,0.2391,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,57,214.8,0.68,11.37,3.786,33.46,25.51,7.76,4.44,8.85,50.18,88.48,0.122,0.73,0.1566,1.4,0.2373,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,58,216.2,0.77,11.35,3.785,33.467,25.521,7.76,4.38,8.85,49.45,88.24,0.125,0.6,0.1536,1.39,0.2348,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,59,217.60001,0.72,11.3,3.782,33.476,25.536,7.75,4.3,8.86,48.57,88.15,0.126,0.55,0.1505,1.37,0.2319,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,60,219.10001,0.58,11.19,3.774,33.501,25.576,7.75,4.28,8.88,48.19,87.9,0.129,0.52,0.1481,1.34,0.2287,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,61,221,0.52,11.13,3.77,33.512,25.595,7.74,4.27,8.89,47.99,87.95,0.128,0.5,0.1462,1.3,0.2266,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,62,222.60001,0.73,11.11,3.768,33.518,25.603,7.74,4.26,8.9,47.93,88.09,0.127,0.48,0.1423,1.28,0.2247,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,63,223.89999,0.89,11.1,3.767,33.521,25.607,7.74,4.27,8.9,48.02,88.16,0.126,0.46,0.1375,1.27,0.2245,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,64,225.10001,0.77,11.1,3.767,33.521,25.608,7.74,4.27,8.9,47.98,88.2,0.126,0.48,0.1353,1.26,0.2246,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,65,226.60001,0.59,11.09,3.767,33.521,25.609,7.74,4.25,8.9,47.75,88.21,0.125,0.44,0.135,1.26,0.231,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,66,228.2,0.7,11.09,3.767,33.523,25.611,7.74,4.21,8.9,47.36,88.18,0.126,0.41,0.1347,1.26,0.2273,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,67,229.60001,0.76,11.07,3.766,33.524,25.614,7.73,4.19,8.9,47.07,88.67,0.12,0.4,0.1357,1.36,0.2255,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,68,230.8,0.86,11.02,3.762,33.534,25.632,7.73,4.18,8.91,46.91,89.63,0.109,0.41,0.1389,1.28,0.2236,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,69,232.3,0.58,11,3.76,33.536,25.637,7.73,4.18,8.92,46.87,89.8,0.108,0.4,0.1314,1.26,0.2227,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,70,234.3,0.45,10.98,3.759,33.538,25.642,7.73,4.16,8.92,46.61,90.03,0.105,0.41,0.1311,1.24,0.222,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,71,236.2,0.71,10.93,3.755,33.549,25.66,7.73,4.15,8.93,46.53,90.04,0.105,0.38,0.127,1.24,0.219,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,72,237.5,0.79,10.92,3.755,33.553,25.665,7.73,4.15,8.93,46.48,89.85,0.107,0.38,0.1248,1.22,0.2185,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,73,238.8,0.79,10.91,3.754,33.555,25.669,7.73,4.14,8.93,46.38,89.73,0.108,0.38,0.1255,1.2,0.2177,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,74,240.10001,0.75,10.9,3.753,33.559,25.673,7.72,4.14,8.94,46.37,89.63,0.109,0.36,0.1277,1.2,0.2168,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,75,241.5,0.73,10.89,3.753,33.562,25.678,7.72,4.14,8.94,46.36,89.5,0.111,0.35,0.1261,1.19,0.2165,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,12:12:00,4002,1,76,243.10001,0.38,10.88,3.752,33.565,25.682,7.72,4.14,8.94,46.29,89.38,0.112,0.35,0.1243,1.19,0.2159,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,11:58:00,4003,1,1,112.6,0.54,15.36,4.141,33.323,24.601,8.13,8.8,8.15,107.88,88.95,0.117,0.46,0.1471,0.6,0.153,0.01,5,5,5
Winter,Hyperion,3/21/2017,11:58:00,4003,1,2,114.1,0.73,15.36,4.141,33.324,24.602,8.13,8.83,8.15,108.16,88.92,0.117,0.47,0.1519,0.6,0.1529,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,11:58:00,4003,1,3,115.5,0.68,15.35,4.141,33.324,24.603,8.13,8.85,8.15,108.4,88.85,0.118,0.46,0.1557,0.59,0.1529,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,11:58:00,4003,1,4,117,0.65,15.35,4.141,33.323,24.603,8.13,8.86,8.15,108.58,88.87,0.118,0.48,0.1615,0.59,0.1526,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,11:58:00,4003,1,5,118.5,0.69,15.35,4.14,33.324,24.604,8.13,8.88,8.15,108.77,88.89,0.118,0.5,0.1658,0.59,0.1532,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,11:58:00,4003,1,6,120,0.7,15.35,4.14,33.323,24.604,8.13,8.91,8.16,109.18,88.89,0.118,0.53,0.1703,0.59,0.1531,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,11:58:00,4003,1,7,121.4,0.72,15.33,4.139,33.323,24.607,8.13,9.06,8.16,110.96,88.79,0.119,0.56,0.179,0.59,0.1532,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,11:58:00,4003,1,8,122.8,0.72,15.17,4.123,33.319,24.64,8.13,9.15,8.18,111.75,88.31,0.124,0.58,0.2085,0.6,0.1556,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,11:58:00,4003,1,9,124.3,0.64,15.04,4.111,33.318,24.666,8.13,9.2,8.21,111.98,88.3,0.124,0.6,0.2225,0.61,0.1577,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,11:58:00,4003,1,10,125.8,0.7,14.98,4.105,33.316,24.678,8.13,9.19,8.22,111.77,87.75,0.131,0.69,0.2565,0.64,0.1587,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,11:58:00,4003,1,11,127.2,0.77,14.86,4.094,33.316,24.703,8.13,9.21,8.24,111.74,86.99,0.139,0.84,0.2889,0.64,0.1609,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,11:58:00,4003,1,12,128.7,0.61,14.6,4.069,33.312,24.758,8.13,9.29,8.28,112.15,86.37,0.147,0.93,0.3232,0.66,0.1662,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,11:58:00,4003,1,13,130.2,0.73,14.37,4.047,33.313,24.807,8.13,9.32,8.32,112,86.25,0.148,1.14,0.3282,0.7,0.1711,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,11:58:00,4003,1,14,131.60001,0.73,14.24,4.035,33.313,24.835,8.13,9.25,8.34,110.78,86.63,0.144,1.32,0.3187,0.75,0.1744,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,11:58:00,4003,1,15,133.10001,0.61,14.12,4.024,33.314,24.859,8.12,8.98,8.36,107.35,86.59,0.144,1.49,0.3368,0.78,0.1766,0.01,5,5,5
Winter,Hyperion,3/21/2017,11:58:00,4003,1,16,135.39999,0.35,13.81,3.995,33.314,24.924,8.1,8.69,8.41,103.24,84.14,0.173,1.45,0.5383,0.82,0.1822,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,11:58:00,4003,1,17,137.89999,0.48,13.62,3.978,33.319,24.967,8.08,8.6,8.45,101.74,82.53,0.192,1.8,0.7239,0.88,0.1885,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,11:58:00,4003,1,18,139.7,0.65,13.59,3.976,33.322,24.974,8.07,8.51,8.45,100.69,82.19,0.196,2.94,0.7951,0.93,0.1904,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,11:58:00,4003,1,19,141.2,0.69,13.57,3.974,33.325,24.982,8.07,8.47,8.46,100.13,81.72,0.202,3.42,0.85,0.93,0.1934,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,11:58:00,4003,1,20,142.7,0.7,13.57,3.974,33.328,24.985,8.06,8.34,8.46,98.54,81.41,0.206,4.03,0.8814,0.96,0.1961,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,11:58:00,4003,1,21,144.2,0.64,13.55,3.973,33.33,24.989,8.06,7.97,8.46,94.14,81.7,0.202,4.18,0.8871,0.99,0.2005,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,11:58:00,4003,1,22,145.60001,0.77,13.46,3.965,33.335,25.012,8.05,7.72,8.47,91.06,82.86,0.188,4.48,0.784,1.02,0.2057,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,11:58:00,4003,1,23,147,0.68,13.3,3.951,33.338,25.046,8.02,7.64,8.5,89.87,85.02,0.162,4.57,0.5986,1.07,0.2035,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,11:58:00,4003,1,24,148.39999,0.8,13.26,3.947,33.336,25.054,8.02,7.57,8.51,88.88,86.37,0.147,4.62,0.4766,1.07,0.1995,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,11:58:00,4003,1,25,149.7,0.78,13.2,3.941,33.337,25.066,8.01,7.52,8.52,88.2,88.07,0.127,3.98,0.4033,1.06,0.1962,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,11:58:00,4003,1,26,151.10001,0.62,13.15,3.937,33.336,25.074,8,7.45,8.53,87.3,89.26,0.114,2.94,0.3041,1,0.1919,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,11:58:00,4003,1,27,152.8,0.6,13.09,3.931,33.338,25.089,8,7.07,8.54,82.74,89.92,0.106,2.2,0.2483,0.97,0.1894,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,11:58:00,4003,1,28,154.39999,0.73,12.96,3.919,33.338,25.115,7.98,6.64,8.56,77.55,90.02,0.105,1.63,0.241,0.93,0.1951,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,11:58:00,4003,1,29,155.7,0.75,12.78,3.903,33.343,25.154,7.95,6.48,8.6,75.36,90.11,0.104,1.19,0.2331,0.95,0.203,NaN,NaN,NaN,NaN
Winter,Hyperion,3/21/2017,11:58:00,4003,1,30,157,0.77,12.69,3.896,33.349,25.175,7.93,6.29,8.61,73.04,89.82,0.107,1.01,0.253,1.03,0.2077,0.02,63,10,5
