Sort,Season,Agency,Date,Time,Station ID,Field rep,Depth (m),Time (seconds),Descent rate (m/s),Temperature (øC),Conductivity (S/m),Salinity (psu),Density (kg/m?),pH (pH units),Dissolved Oxygen (mg/L),Oxygen Saturation (mg/L),Oxygen Saturation (%),Light Transmission (%),Beam C (1/m),Chlorophyll-a (æg/L) WET,Chlorophyll-a Voltage (V) WET,Chlorophyll-a (æg/L) ECO,Chlorophyll-a Voltage (V) ECO,CDOM (ug/L) WET,CDOM Voltage (V) WET,CDOM (ug/L) ECO,CDOM Voltage (V) ECO,CDOM (ug/L) Turner,CDOM Voltage (V) Turner,Surface Irradiance (æE/cmýúsec),Irradiance (æE/cmýúsec),Normalized Irradiance (%),delta-T (øC/m),Stability (kg/m?/m),Qual_NH3,Ammonia-N (mg/L),Qual_TC,Total coliforms (MPN/100mL),Qual_FC,Fecal coliforms (MPN/100mL),Qual_EC,E. coli (MPN/100mL),Qual_ENT,Enterococci (MPN/100mL),Disacrete Chl-a (ug/L)
1,Winter,Oxnard,02/06/2016,09:16,4701,1,1.0,85.6,0.89,13.48,3.994,33.600,25.213,8.07,7.48,8.46,88.43,33.49,4.963,0.16,1.5347,,,0.80,,,,,,,,,0.01,0.002,,,,,,,,,,,
2,Winter,Oxnard,02/06/2016,09:16,4701,1,2.0,86.9,0.92,13.47,3.994,33.601,25.215,8.07,7.47,8.46,88.31,41.42,3.599,0.15,1.3566,,,0.21,,,,,,,,,0.01,0.002,,,,,,,,,,,
3,Winter,Oxnard,02/06/2016,09:16,4701,1,3.0,88.3,1.09,13.46,3.993,33.602,25.217,8.07,7.51,8.46,88.69,42.54,3.423,0.13,1.1240,,,0.06,,,,,,,,,0.00,0.000,,,,,,,,,,,
4,Winter,Oxnard,02/06/2016,09:16,4701,1,4.0,89.8,0.96,13.46,3.993,33.601,25.217,8.07,7.52,8.46,88.86,42.39,3.433,0.13,1.1065,,,0.05,,,,,,,,,0.01,0.003,,,,,,,,,,,
5,Winter,Oxnard,02/06/2016,09:16,4701,1,5.0,91.3,0.97,13.45,3.992,33.602,25.220,8.07,7.47,8.46,88.20,42.72,3.402,0.15,1.3834,,,0.04,,,,,,,,,0.01,0.002,,,,,,,,,,,
6,Winter,Oxnard,02/06/2016,09:16,4701,1,6.0,92.7,1.09,13.44,3.991,33.602,25.222,8.07,7.42,8.46,87.66,42.28,3.444,0.17,1.6182,,,0.04,,,,,,,,,0.01,0.002,,,,,,,,,,,
7,Winter,Oxnard,02/06/2016,09:16,4701,1,7.0,94.1,0.96,13.43,3.990,33.602,25.224,8.07,7.40,8.47,87.35,41.96,3.474,0.17,1.6737,,,0.04,,,,,,,,,0.01,0.001,,,,,,,,,,,
8,Winter,Oxnard,02/06/2016,09:16,4701,1,8.0,95.7,0.91,13.42,3.990,33.602,25.225,8.07,7.44,8.47,87.86,42.00,3.470,0.17,1.6793,,,0.04,,,,,,,,,0.00,0.001,,,,,,,,,,,
9,Winter,Oxnard,02/06/2016,09:16,4701,1,9.0,97.0,0.49,13.42,3.989,33.601,25.226,8.07,7.45,8.47,87.96,41.63,3.505,0.17,1.6372,,,0.04,,,,,,,,,,,,,,,,,,,,,
10,Winter,Oxnard,02/06/2016,08:58,4702,1,1.0,86.9,0.55,13.64,4.009,33.592,25.173,8.08,6.83,8.43,80.97,36.55,4.098,0.19,1.9158,,,0.04,,,,,,,,,0.00,0.000,,,,,,,,,,,
11,Winter,Oxnard,02/06/2016,08:58,4702,1,2.0,88.4,0.89,13.64,4.009,33.593,25.173,8.08,6.77,8.43,80.28,37.17,3.963,0.18,1.7994,,,0.04,,,,,,,,,0.00,0.001,,,,,,,,,,,
12,Winter,Oxnard,02/06/2016,08:58,4702,1,3.0,89.8,1.33,13.64,4.009,33.592,25.174,8.08,6.69,8.43,79.33,36.02,4.085,0.17,1.6860,,,0.04,,,,,,,,,0.00,0.000,,,,,,,,,,,
13,Winter,Oxnard,02/06/2016,08:58,4702,1,4.0,90.9,1.17,13.64,4.009,33.593,25.174,8.08,6.68,8.43,79.17,35.65,4.126,0.16,1.5922,,,0.04,,,,,,,,,0.01,0.002,,,,,,,,,,,
14,Winter,Oxnard,02/06/2016,08:58,4702,1,5.0,92.3,1.10,13.63,4.008,33.593,25.176,8.08,6.67,8.43,79.04,35.29,4.167,0.17,1.6431,,,0.04,,,,,,,,,0.01,0.001,,,,,,,,,,,
15,Winter,Oxnard,02/06/2016,08:58,4702,1,6.0,93.6,1.11,13.62,4.007,33.593,25.177,8.08,6.69,8.43,79.24,34.34,4.276,0.18,1.7752,,,0.04,,,,,,,,,0.01,0.003,,,,,,,,,,,
16,Winter,Oxnard,02/06/2016,08:58,4702,1,7.0,94.9,0.98,13.61,4.006,33.593,25.180,8.07,6.61,8.43,78.38,33.11,4.422,0.18,1.8235,,,0.04,,,,,,,,,0.02,0.004,,,,,,,,,,,
17,Winter,Oxnard,02/06/2016,08:58,4702,1,8.0,96.5,0.89,13.59,4.005,33.593,25.184,8.07,6.57,8.44,77.87,32.55,4.490,0.18,1.8537,,,0.04,,,,,,,,,0.04,0.011,,,,,,,,,,,
18,Winter,Oxnard,02/06/2016,08:58,4702,1,9.0,98.0,1.03,13.55,4.001,33.596,25.195,8.07,6.54,8.45,77.40,32.00,4.558,0.18,1.8414,,,0.04,,,,,,,,,0.03,0.005,,,,,,,,,,,
19,Winter,Oxnard,02/06/2016,08:58,4702,1,10.0,99.6,0.86,13.52,3.999,33.596,25.200,8.07,6.53,8.45,77.22,32.94,4.444,0.18,1.7689,,,0.04,,,,,,,,,0.04,0.011,,,,,,,,,,,
20,Winter,Oxnard,02/06/2016,08:58,4702,1,11.0,101.2,1.01,13.48,3.994,33.598,25.211,8.06,6.57,8.46,77.61,35.13,4.191,0.17,1.6755,,,0.04,,,,,,,,,0.06,0.013,,,,,,,,,,,
21,Winter,Oxnard,02/06/2016,08:58,4702,1,12.0,102.6,1.05,13.42,3.989,33.600,25.224,8.06,6.47,8.47,76.35,40.04,3.674,0.16,1.5859,,,0.04,,,,,,,,,0.02,0.004,,,,,,,,,,,
22,Winter,Oxnard,02/06/2016,08:58,4702,1,13.0,104.1,0.94,13.40,3.988,33.600,25.228,8.06,6.17,8.47,72.80,44.39,3.253,0.16,1.5287,,,0.04,,,,,,,,,0.07,0.016,,,,,,,,,,,
23,Winter,Oxnard,02/06/2016,08:58,4702,1,14.0,105.5,1.04,13.33,3.981,33.603,25.244,8.05,6.01,8.48,70.86,47.26,3.001,0.15,1.4527,,,0.04,,,,,,,,,0.08,0.017,,,,,,,,,,,
24,Winter,Oxnard,02/06/2016,08:58,4702,1,15.0,107.1,0.89,13.25,3.974,33.603,25.261,8.04,6.01,8.50,70.68,47.57,2.996,0.15,1.3700,,,0.04,,,,,,,,,0.00,0.000,,,,,,,,,,,
25,Winter,Oxnard,02/06/2016,08:58,4702,1,16.0,108.6,1.04,13.25,3.973,33.602,25.261,8.03,6.03,8.50,70.91,35.58,4.265,0.14,1.2768,,,0.05,,,,,,,,,0.00,0.000,,,,,,,,,,,
26,Winter,Oxnard,02/06/2016,08:58,4702,1,17.0,110.1,0.96,13.25,3.974,33.602,25.261,8.02,6.03,8.50,70.95,24.23,5.722,0.13,1.0839,,,0.05,,,,,,,,,-0.01,-0.002,,,,,,,,,,,
27,Winter,Oxnard,02/06/2016,08:58,4702,1,18.0,111.5,0.59,13.26,3.975,33.603,25.259,8.02,5.99,8.50,70.51,20.12,6.469,0.11,0.8981,,,0.05,,,,,,,,,,,,,,,,,,,,,
28,Winter,Oxnard,02/06/2016,08:43,4703,1,1.0,82.6,0.89,13.55,4.002,33.606,25.202,8.08,7.17,8.44,84.82,58.69,2.493,0.18,1.8002,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
29,Winter,Oxnard,02/06/2016,08:43,4703,1,2.0,83.8,1.04,13.55,4.002,33.606,25.202,8.08,7.19,8.44,85.09,66.19,1.699,0.18,1.7744,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
30,Winter,Oxnard,02/06/2016,08:43,4703,1,3.0,85.1,1.04,13.55,4.002,33.606,25.202,8.08,7.13,8.44,84.42,67.35,1.584,0.18,1.7666,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
31,Winter,Oxnard,02/06/2016,08:43,4703,1,4.0,86.6,0.92,13.55,4.002,33.606,25.202,8.08,7.15,8.44,84.69,67.48,1.574,0.18,1.7439,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
32,Winter,Oxnard,02/06/2016,08:43,4703,1,5.0,88.3,0.92,13.55,4.002,33.606,25.203,8.07,7.18,8.44,84.97,67.41,1.577,0.18,1.7647,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
33,Winter,Oxnard,02/06/2016,08:43,4703,1,6.0,89.8,0.95,13.55,4.002,33.606,25.203,8.07,7.15,8.44,84.63,67.05,1.599,0.19,1.9672,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
34,Winter,Oxnard,02/06/2016,08:43,4703,1,7.0,91.4,0.96,13.55,4.002,33.606,25.203,8.07,7.13,8.44,84.40,67.32,1.583,0.20,2.1214,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
35,Winter,Oxnard,02/06/2016,08:43,4703,1,8.0,92.9,1.03,13.55,4.002,33.606,25.203,8.07,7.13,8.45,84.35,67.34,1.582,0.21,2.2440,,,0.04,,,,,,,,,0.00,0.000,,,,,,,,,,,
36,Winter,Oxnard,02/06/2016,08:43,4703,1,9.0,94.4,0.91,13.55,4.002,33.606,25.203,8.07,7.13,8.44,84.44,67.31,1.583,0.21,2.2674,,,0.03,,,,,,,,,0.01,0.001,,,,,,,,,,,
37,Winter,Oxnard,02/06/2016,08:43,4703,1,10.0,95.9,1.00,13.54,4.001,33.606,25.204,8.07,7.11,8.45,84.18,67.37,1.580,0.21,2.2444,,,0.03,,,,,,,,,0.01,0.002,,,,,,,,,,,
38,Winter,Oxnard,02/06/2016,08:43,4703,1,11.0,97.3,1.05,13.53,4.000,33.605,25.206,8.07,6.99,8.45,82.72,67.29,1.585,0.21,2.2392,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
39,Winter,Oxnard,02/06/2016,08:43,4703,1,12.0,98.8,0.95,13.53,4.000,33.605,25.206,8.07,6.86,8.45,81.17,67.02,1.601,0.21,2.1534,,,0.03,,,,,,,,,0.05,0.011,,,,,,,,,,,
40,Winter,Oxnard,02/06/2016,08:43,4703,1,13.0,100.3,0.96,13.48,3.995,33.604,25.217,8.07,6.76,8.46,79.90,66.88,1.609,0.20,2.0595,,,0.04,,,,,,,,,0.10,0.019,,,,,,,,,,,
41,Winter,Oxnard,02/06/2016,08:43,4703,1,14.0,101.8,0.99,13.38,3.986,33.603,25.236,8.06,6.75,8.47,79.57,65.95,1.666,0.19,1.9353,,,0.04,,,,,,,,,0.06,0.011,,,,,,,,,,,
42,Winter,Oxnard,02/06/2016,08:43,4703,1,15.0,103.3,0.97,13.32,3.980,33.603,25.247,8.05,6.74,8.48,79.36,63.08,1.844,0.18,1.8326,,,0.04,,,,,,,,,0.03,0.005,,,,,,,,,,,
43,Winter,Oxnard,02/06/2016,08:43,4703,1,16.0,104.8,0.97,13.29,3.978,33.602,25.252,8.05,6.74,8.49,79.38,60.89,1.985,0.17,1.6250,,,0.04,,,,,,,,,0.01,0.003,,,,,,,,,,,
44,Winter,Oxnard,02/06/2016,08:43,4703,1,17.0,106.2,1.15,13.28,3.976,33.602,25.255,8.05,6.74,8.49,79.34,59.05,2.108,0.15,1.4440,,,0.04,,,,,,,,,0.01,0.002,,,,,,,,,,,
45,Winter,Oxnard,02/06/2016,08:43,4703,1,18.0,107.5,1.07,13.27,3.975,33.601,25.257,8.05,6.71,8.49,79.00,57.41,2.220,0.14,1.3310,,,0.04,,,,,,,,,0.01,0.002,,,,,,,,,,,
46,Winter,Oxnard,02/06/2016,08:43,4703,1,19.0,109.0,0.89,13.26,3.975,33.602,25.259,8.04,6.70,8.50,78.85,56.58,2.278,0.14,1.2071,,,0.04,,,,,,,,,0.02,0.004,,,,,,,,,,,
47,Winter,Oxnard,02/06/2016,08:43,4703,1,20.0,110.3,0.55,13.24,3.974,33.604,25.263,8.04,6.66,8.50,78.29,55.89,2.327,0.13,1.0790,,,0.04,,,,,,,,,,,,,,,,,,,,,
48,Winter,Oxnard,02/06/2016,08:30,4704,1,1.0,95.1,1.05,14.01,4.042,33.583,25.091,8.13,6.61,8.37,78.99,6.15,15.337,0.07,0.3898,,,0.01,,,,,,,,,0.01,0.001,,,,,,,,,,,
49,Winter,Oxnard,02/06/2016,08:30,4704,1,2.0,96.1,1.08,14.00,4.042,33.584,25.092,8.13,6.82,8.37,81.50,30.08,8.027,0.07,0.2599,,,0.02,,,,,,,,,0.00,0.000,,,,,,,,,,,
50,Winter,Oxnard,02/06/2016,08:30,4704,1,3.0,97.6,0.92,14.00,4.042,33.584,25.092,8.13,7.09,8.37,84.71,65.38,2.001,0.06,0.2160,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
51,Winter,Oxnard,02/06/2016,08:30,4704,1,4.0,99.1,1.01,14.00,4.042,33.585,25.093,8.13,7.01,8.37,83.72,70.37,1.420,0.07,0.3008,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
52,Winter,Oxnard,02/06/2016,08:30,4704,1,5.0,100.6,0.95,14.00,4.042,33.584,25.093,8.13,6.66,8.37,79.52,72.22,1.303,0.08,0.4207,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
53,Winter,Oxnard,02/06/2016,08:30,4704,1,6.0,102.1,1.01,14.00,4.042,33.584,25.093,8.13,6.70,8.37,80.00,72.59,1.282,0.10,0.7638,,,0.03,,,,,,,,,0.01,0.002,,,,,,,,,,,
54,Winter,Oxnard,02/06/2016,08:30,4704,1,7.0,103.6,0.94,13.99,4.041,33.585,25.095,8.12,6.81,8.37,81.32,72.89,1.265,0.21,2.2166,,,0.03,,,,,,,,,0.00,-0.001,,,,,,,,,,,
55,Winter,Oxnard,02/06/2016,08:30,4704,1,8.0,105.1,1.02,13.99,4.041,33.583,25.094,8.12,7.00,8.37,83.63,73.67,1.222,0.24,2.6017,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
56,Winter,Oxnard,02/06/2016,08:30,4704,1,9.0,106.6,0.91,13.99,4.041,33.583,25.094,8.12,7.11,8.37,84.86,73.82,1.214,0.24,2.5919,,,0.03,,,,,,,,,0.00,0.002,,,,,,,,,,,
57,Winter,Oxnard,02/06/2016,08:30,4704,1,10.0,108.3,0.93,13.99,4.041,33.584,25.096,8.12,7.05,8.37,84.14,73.78,1.217,0.23,2.5197,,,0.03,,,,,,,,,0.01,0.000,,,,,,,,,,,
58,Winter,Oxnard,02/06/2016,08:30,4704,1,11.0,109.8,1.00,13.98,4.040,33.582,25.096,8.12,7.01,8.37,83.64,74.06,1.201,0.24,2.5757,,,0.03,,,,,,,,,0.01,0.001,,,,,,,,,,,
59,Winter,Oxnard,02/06/2016,08:30,4704,1,12.0,111.1,1.06,13.97,4.039,33.581,25.097,8.12,6.91,8.37,82.48,75.14,1.143,0.25,2.7772,,,0.03,,,,,,,,,0.01,0.001,,,,,,,,,,,
60,Winter,Oxnard,02/06/2016,08:30,4704,1,13.0,112.5,1.06,13.96,4.038,33.581,25.098,8.12,6.67,8.37,79.57,75.80,1.108,0.26,2.9298,,,0.03,,,,,,,,,0.02,0.005,,,,,,,,,,,
61,Winter,Oxnard,02/06/2016,08:30,4704,1,14.0,113.9,1.11,13.94,4.036,33.581,25.103,8.12,6.47,8.38,77.22,76.37,1.079,0.26,2.9054,,,0.03,,,,,,,,,0.04,0.008,,,,,,,,,,,
62,Winter,Oxnard,02/06/2016,08:30,4704,1,15.0,115.3,0.96,13.90,4.032,33.580,25.111,8.10,6.40,8.39,76.29,75.48,1.127,0.24,2.6808,,,0.03,,,,,,,,,0.03,0.004,,,,,,,,,,,
63,Winter,Oxnard,02/06/2016,08:30,4704,1,16.0,116.8,1.03,13.87,4.030,33.579,25.115,8.09,6.39,8.39,76.16,69.31,1.473,0.22,2.4009,,,0.03,,,,,,,,,0.03,0.008,,,,,,,,,,,
64,Winter,Oxnard,02/06/2016,08:30,4704,1,17.0,118.3,0.99,13.84,4.027,33.580,25.123,8.09,6.43,8.39,76.57,65.06,1.723,0.20,2.1411,,,0.03,,,,,,,,,0.03,0.008,,,,,,,,,,,
65,Winter,Oxnard,02/06/2016,08:30,4704,1,18.0,119.6,1.18,13.81,4.024,33.582,25.131,8.09,6.49,8.40,77.25,59.71,2.069,0.17,1.6785,,,0.03,,,,,,,,,0.02,0.004,,,,,,,,,,,
66,Winter,Oxnard,02/06/2016,08:30,4704,1,19.0,121.1,0.88,13.79,4.022,33.582,25.135,8.09,6.35,8.40,75.52,56.90,2.257,0.15,1.3706,,,0.03,,,,,,,,,0.04,0.014,,,,,,,,,,,
67,Winter,Oxnard,02/06/2016,08:30,4704,1,20.0,122.6,1.15,13.75,4.019,33.588,25.149,8.09,6.09,8.41,72.32,55.14,2.382,0.14,1.2129,,,0.03,,,,,,,,,0.13,0.031,,,,,,,,,,,
68,Winter,Oxnard,02/06/2016,08:30,4704,1,21.0,123.9,1.07,13.62,4.008,33.595,25.180,8.08,6.06,8.43,71.81,53.78,2.485,0.14,1.2258,,,0.03,,,,,,,,,0.09,0.020,,,,,,,,,,,
69,Winter,Oxnard,02/06/2016,08:30,4704,1,22.0,125.4,0.67,13.53,4.000,33.597,25.200,8.07,6.15,8.45,72.70,49.42,2.823,0.15,1.3651,,,0.03,,,,,,,,,,,,,,,,,,,,,
70,Winter,Oxnard,02/06/2016,08:12,4705,1,1.0,89.4,0.93,14.23,4.062,33.577,25.040,8.14,7.49,8.33,89.81,53.00,3.311,0.20,2.1267,,,0.01,,,,,,,,,0.00,0.000,,,,,,,,,,,
71,Winter,Oxnard,02/06/2016,08:12,4705,1,2.0,90.6,0.95,14.23,4.062,33.577,25.040,8.14,7.44,8.33,89.27,62.18,2.090,0.20,2.0332,,,0.02,,,,,,,,,0.00,-0.001,,,,,,,,,,,
72,Winter,Oxnard,02/06/2016,08:12,4705,1,3.0,92.1,1.06,14.23,4.063,33.577,25.039,8.14,7.40,8.33,88.81,77.56,1.042,0.19,1.9370,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
73,Winter,Oxnard,02/06/2016,08:12,4705,1,4.0,93.6,0.92,14.23,4.063,33.577,25.039,8.14,7.41,8.33,88.92,80.03,0.893,0.19,1.9133,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
74,Winter,Oxnard,02/06/2016,08:12,4705,1,5.0,95.2,0.92,14.23,4.063,33.577,25.040,8.14,7.44,8.33,89.32,80.40,0.873,0.19,2.0059,,,0.03,,,,,,,,,0.00,-0.001,,,,,,,,,,,
75,Winter,Oxnard,02/06/2016,08:12,4705,1,6.0,96.8,0.92,14.23,4.063,33.577,25.039,8.14,7.45,8.33,89.36,80.53,0.866,0.21,2.1865,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
76,Winter,Oxnard,02/06/2016,08:12,4705,1,7.0,98.4,0.88,14.23,4.063,33.577,25.040,8.14,7.46,8.33,89.50,80.73,0.856,0.22,2.3420,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
77,Winter,Oxnard,02/06/2016,08:12,4705,1,8.0,100.0,0.96,14.23,4.063,33.577,25.040,8.14,7.46,8.33,89.49,80.73,0.856,0.23,2.4428,,,0.02,,,,,,,,,0.00,0.000,,,,,,,,,,,
78,Winter,Oxnard,02/06/2016,08:12,4705,1,9.0,101.4,1.20,14.23,4.063,33.577,25.040,8.14,7.52,8.33,90.22,80.61,0.862,0.23,2.4860,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
79,Winter,Oxnard,02/06/2016,08:12,4705,1,10.0,102.7,1.01,14.23,4.063,33.577,25.040,8.14,7.49,8.33,89.85,80.68,0.859,0.23,2.5229,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
80,Winter,Oxnard,02/06/2016,08:12,4705,1,11.0,104.1,1.08,14.23,4.063,33.577,25.040,8.14,7.45,8.33,89.44,80.79,0.853,0.24,2.5868,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
81,Winter,Oxnard,02/06/2016,08:12,4705,1,12.0,105.4,1.17,14.23,4.063,33.578,25.040,8.14,7.47,8.33,89.59,80.76,0.855,0.24,2.6257,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
82,Winter,Oxnard,02/06/2016,08:12,4705,1,13.0,106.8,0.90,14.23,4.063,33.577,25.040,8.14,7.50,8.33,90.01,80.79,0.853,0.24,2.6363,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
83,Winter,Oxnard,02/06/2016,08:12,4705,1,14.0,108.4,1.01,14.23,4.063,33.578,25.040,8.14,7.48,8.33,89.74,80.85,0.850,0.24,2.6268,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
84,Winter,Oxnard,02/06/2016,08:12,4705,1,15.0,109.9,1.02,14.23,4.063,33.577,25.040,8.14,7.47,8.33,89.66,80.88,0.849,0.24,2.6331,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
85,Winter,Oxnard,02/06/2016,08:12,4705,1,16.0,111.3,0.95,14.23,4.063,33.577,25.040,8.14,7.47,8.33,89.62,80.70,0.858,0.24,2.6460,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
86,Winter,Oxnard,02/06/2016,08:12,4705,1,17.0,112.8,1.03,14.23,4.063,33.578,25.040,8.14,7.42,8.33,89.05,80.39,0.873,0.24,2.6186,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
87,Winter,Oxnard,02/06/2016,08:12,4705,1,18.0,114.3,1.05,14.23,4.063,33.577,25.040,8.14,7.42,8.33,89.04,80.35,0.875,0.24,2.5815,,,0.02,,,,,,,,,0.00,0.000,,,,,,,,,,,
88,Winter,Oxnard,02/06/2016,08:12,4705,1,19.0,115.6,1.08,14.23,4.063,33.578,25.040,8.14,7.44,8.33,89.27,80.38,0.874,0.24,2.5638,,,0.02,,,,,,,,,0.00,0.000,,,,,,,,,,,
89,Winter,Oxnard,02/06/2016,08:12,4705,1,20.0,117.1,0.88,14.23,4.063,33.577,25.040,8.14,7.46,8.33,89.55,80.31,0.877,0.24,2.5599,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
90,Winter,Oxnard,02/06/2016,08:12,4705,1,21.0,118.7,0.97,14.23,4.063,33.577,25.040,8.14,7.47,8.33,89.60,79.98,0.894,0.24,2.5577,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
91,Winter,Oxnard,02/06/2016,08:12,4705,1,22.0,120.3,0.95,14.23,4.063,33.577,25.040,8.14,7.46,8.33,89.53,79.99,0.893,0.24,2.5666,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
92,Winter,Oxnard,02/06/2016,08:12,4705,1,23.0,121.7,1.08,14.23,4.064,33.577,25.041,8.14,7.44,8.33,89.28,79.84,0.901,0.23,2.5427,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
93,Winter,Oxnard,02/06/2016,08:12,4705,1,24.0,123.3,0.82,14.23,4.064,33.577,25.041,8.14,7.29,8.33,87.47,79.21,0.932,0.23,2.5135,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
94,Winter,Oxnard,02/06/2016,08:12,4705,1,25.0,124.9,1.01,14.23,4.063,33.577,25.041,8.14,7.12,8.33,85.46,78.93,0.947,0.23,2.4935,,,0.03,,,,,,,,,,,,,,,,,,,,,
95,Winter,Oxnard,02/06/2016,07:57,4706,1,1.0,85.4,0.80,14.30,4.067,33.557,25.010,8.13,7.46,8.32,89.56,83.66,0.714,0.15,1.3668,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
96,Winter,Oxnard,02/06/2016,07:57,4706,1,2.0,86.6,0.93,14.30,4.067,33.557,25.011,8.13,7.48,8.32,89.86,83.56,0.718,0.14,1.3146,,,0.03,,,,,,,,,0.01,0.000,,,,,,,,,,,
97,Winter,Oxnard,02/06/2016,07:57,4706,1,3.0,88.1,1.07,14.29,4.067,33.558,25.011,8.13,7.46,8.32,89.58,83.56,0.719,0.14,1.2672,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
98,Winter,Oxnard,02/06/2016,07:57,4706,1,4.0,89.5,1.07,14.29,4.066,33.558,25.012,8.13,7.43,8.32,89.26,83.53,0.720,0.14,1.2762,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
99,Winter,Oxnard,02/06/2016,07:57,4706,1,5.0,90.9,1.00,14.29,4.066,33.558,25.012,8.13,7.40,8.32,88.84,83.43,0.725,0.15,1.3528,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
100,Winter,Oxnard,02/06/2016,07:57,4706,1,6.0,92.3,0.98,14.29,4.066,33.558,25.013,8.13,7.43,8.32,89.19,83.28,0.732,0.15,1.4443,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
101,Winter,Oxnard,02/06/2016,07:57,4706,1,7.0,93.9,0.90,14.29,4.066,33.558,25.013,8.13,7.39,8.32,88.77,83.06,0.742,0.16,1.5123,,,0.03,,,,,,,,,0.01,0.003,,,,,,,,,,,
102,Winter,Oxnard,02/06/2016,07:57,4706,1,8.0,95.4,1.06,14.28,4.065,33.558,25.016,8.13,7.33,8.32,88.05,82.95,0.748,0.16,1.5385,,,0.03,,,,,,,,,0.03,0.006,,,,,,,,,,,
103,Winter,Oxnard,02/06/2016,07:57,4706,1,9.0,96.9,0.93,14.25,4.062,33.559,25.022,8.13,7.32,8.33,87.89,81.59,0.814,0.16,1.5489,,,0.03,,,,,,,,,0.02,0.005,,,,,,,,,,,
104,Winter,Oxnard,02/06/2016,07:57,4706,1,10.0,98.4,0.95,14.23,4.061,33.559,25.027,8.13,7.28,8.33,87.30,79.42,0.922,0.16,1.5823,,,0.03,,,,,,,,,0.01,0.001,,,,,,,,,,,
105,Winter,Oxnard,02/06/2016,07:57,4706,1,11.0,99.9,1.08,14.22,4.060,33.559,25.028,8.12,7.25,8.33,86.98,77.42,1.024,0.16,1.5865,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
106,Winter,Oxnard,02/06/2016,07:57,4706,1,12.0,101.5,0.85,14.22,4.060,33.559,25.029,8.12,7.30,8.33,87.55,76.02,1.097,0.16,1.5793,,,0.03,,,,,,,,,0.01,0.000,,,,,,,,,,,
107,Winter,Oxnard,02/06/2016,07:57,4706,1,13.0,103.1,1.06,14.21,4.060,33.559,25.029,8.12,7.31,8.33,87.71,75.31,1.134,0.16,1.5382,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
108,Winter,Oxnard,02/06/2016,07:57,4706,1,14.0,104.5,0.95,14.21,4.060,33.559,25.030,8.13,7.29,8.33,87.46,74.82,1.161,0.16,1.5516,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
109,Winter,Oxnard,02/06/2016,07:57,4706,1,15.0,106.0,0.99,14.21,4.059,33.559,25.031,8.13,7.26,8.33,87.06,73.70,1.221,0.16,1.5593,,,0.03,,,,,,,,,0.01,0.002,,,,,,,,,,,
110,Winter,Oxnard,02/06/2016,07:57,4706,1,16.0,107.4,0.98,14.20,4.058,33.560,25.033,8.13,7.26,8.33,87.04,72.06,1.311,0.16,1.5499,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
